Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

5870	1	5870	7,604907
5880	0	5880	7,60429668
5890	0	5890	7,60399151
5900	0	5900	7,60368633
5910	0	5910	7,603381
5920	0	5920	7,603076
5930	0	5930	7,60399151
5940	0	5940	7,604907
5950	0	5950	7,60582256
5960	0	5960	7,60612774
5970	0	5970	7,60582256
5980	0	5980	7,605212
5990	0	5990	7,60582256
6000	1	6000	7,604602
6010	1	6010	7,604602
6020	1	6020	7,60582256
6030	1	6030	7,605212
6040	1	6040	7,604602
6050	1	6050	7,60399151
6060	1	6060	7,603381
6070	1	6070	7,603076
6080	0	6080	7,603381
6090	0	6090	7,603381
6100	0	6100	7,60368633
6110	0	6110	7,60429668
6120	0	6120	7,604907
6130	0	6130	7,604907
6140	0	6140	7,604602
6150	0	6150	7,604907
6160	0	6160	7,60734844
6170	0	6170	7,60857
6180	0	6180	7,606738
6190	0	6190	7,606433
6200	1	6200	7,60582256
6210	1	6210	7,604602
6220	1	6220	7,60429668
6230	1	6230	7,60368633
6240	1	6240	7,60368633
6250	1	6250	7,60399151
6260	1	6260	7,60429668
6270	0	6270	7,604602
6280	0	6280	7,604602
6290	0	6290	7,604907
6300	0	6300	7,60582256
6310	0	6310	7,60612774
6320	0	6320	7,60612774
6330	0	6330	7,606433
6340	0	6340	7,606433
6350	0	6350	7,606738
6360	0	6360	7,60704327
6370	0	6370	7,60704327
6380	0	6380	7,606738
6390	0	6390	7,606433
6400	0	6400	7,60582256
6410	0	6410	7,605212
6420	0	6420	7,605212
6430	0	6430	7,60612774
6440	0	6440	7,606738
6450	0	6450	7,606738
6460	0	6460	7,606738
6470	0	6470	7,606433
6480	0	6480	7,60612774
6490	0	6490	7,605212
6500	0	6500	7,604602
6510	1	6510	7,60429668
6520	1	6520	7,604907
6530	1	6530	7,60612774
6540	1	6540	7,60582256
6550	1	6550	7,60612774
6560	1	6560	7,60704327
6570	1	6570	7,60704327
6580	0	6580	7,606738
6590	0	6590	7,605212
6600	0	6600	7,604602
6610	0	6610	7,604602
6620	0	6620	7,604907
6630	0	6630	7,60429668
6640	0	6640	7,60246563
6650	0	6650	7,60246563
6660	0	6660	7,60246563
6670	0	6670	7,60185528
6680	0	6680	7,603381
6690	0	6690	7,60429668
6700	0	6700	7,60429668
6710	1	6710	7,60429668
6720	1	6720	7,60429668
6730	1	6730	7,604602
6740	1	6740	7,604602
6750	1	6750	7,604907
6760	1	6760	7,604907
6770	1	6770	7,604602
